record_type,id,name,category,meal_type,image_url,price,status,Calories,Protein,Carbohydrates,Fats,Fiber,billing_mode,Actual name
dish,DISH034,Paneer butter masala,Addon,,,159,live,316.86,12.77,40.32,13.47,5.92,,
dish,DISH055,Paneer grilled,Addon,,,119,live,110,0.3,28.58,0.02,0.93,,
dish,DISH048,Peanut Butter and Banana Toast,Sandwich,,,149,live,3.2,0.11,0.89,0.03,0.32,,
dish,DISH019,Pineapple Gut Booster Tepache,Drink,,assets/dishes/Picture15.png,69,live,3.2,0.11,0.89,0.03,0.32,,
dish,DISH020,Protein Chicken Collagen Millet Kanji,,,assets/dishes/Picture29.png,149,hidden,546.34,14.41,95.03,11.39,13.3,,
dish,DISH031,Protein Chicken Collagen Millet Kanji combo,Combo,,,249,live,126.63,4.1,14.01,5,6.9,,
dish,DISH021,Protein Peanut Butter Brownie,,,,499,hidden,129.49,0.6,9.53,10.72,1.02,,
dish,DISH022,Pulled Chicken Caesar Salad,Salad,,assets/dishes/Picture1.png,299,live,221.27,5.97,38.4,7,4.98,,
dish,DISH023,Ragi Chicken Collagen Broth,Soup,,assets/dishes/Picture3.png,149,live,325.53,13.73,49.73,8.69,7.42,,
dish,DISH032,Ragi Jowar Chapathi,Addon,,,16,live,206.61,0.28,8.12,19.68,0.51,,
dish,DISH037,Ragi Jowar Chapathi Chicken meal combo,Combo,,assets/dishes/Picture30.png,249,live,320,34.34,33,9,5,,
dish,DISH038,Ragi Jowar Chapathi Paneer meal combo,Combo,,assets/dishes/Picture30.png,249,live,660,48.35,62,22,12,,
dish,DISH039,Ragi Quinoa Crisp bread,,,,,hidden,633,32.1,84.9,43.15,14.6,,
dish,DISH050,Roasted sweet potato,Addon,,,49,live,204.71,30.64,3.25,11.27,1.15,,
dish,DISH060,Scrambled egg sando on multigrain bread,Sandwich,,,149,live,45.73,0.6,2.99,3.96,1.57,,
dish,DISH045,Shirazi salad,Addon,,assets/dishes/Picture6.png,49,live,70,8.03,2,5.52,0.2,,
dish,DISH061,Shirazi salad-Main,Salad,,assets/dishes/Picture6.png,149,live,56.47,1.5,4.37,4.34,3,,
dish,DISH024,Sour Dough Grilled Chicken and Avocado Sandwich,,,assets/dishes/Picture19.png,349,hidden,219.4,7,46.6,1.52,7,,
dish,DISH046,Soyu egg,Addon,,assets/dishes/Picture21.png,49,live,215,25,6.57,13,1.76,,
addon,DISH027,Steamed Edamame,Snacks,,assets/dishes/Picture22.png,61,live,333.68,14.84,9.46,27.24,1.75,,
dish,DISH059,Steamed Edamame-Main,Snacks,,assets/dishes/Picture22.png,249,hidden,146.01,7.42,20,4.1,5.17,,
dish,DISH035,Toor dal fry,Addon,,,49,live,23.81,1.54,2.45,1.05,0.22,,
addon,DISH040,Vegan Chocolate Chips Almond Oats Cookies,Snacks,,,149,live,15.08,0.51,2.34,0.66,0.6,,
dish,DISH047,Vegetable millet broth,Soup,,,,live,134.22,12,1.23,9.31,0,,
dish,DISH025,Whole Wheat Pizza Dough,,,,,hidden,313.72,46.3,6.31,17.05,2.29,,
dish,DISH026,Yuzu Corn Salad,Salad,,,199,live,85.28,1.54,14.68,2.56,2.4,,
dish,DISH042,Yuzu Corn Salad mix,Sub-ingredient,,,,hidden,370,23.5,8.7,30,1,,
dish,DISH041,Yuzu dressing,Sub-ingredient,,,,hidden,22.65,0.65,5.35,0.15,1.05,,
